threshold,precision,recall,f1,accuracy
0.74,0.8513565668183347,0.29960473573589574,0.443230295671228,0.9516084197687101
0.75,0.8517047641008043,0.28905944535871037,0.43162873568236204,0.9510577535154227
0.76,0.8580698080335792,0.28087132700502726,0.4232127512668528,0.9507802634638398
0.77,0.8634075803264873,0.27445583318279665,0.41651263942834393,0.950563159685094
0.78,0.8668869181203288,0.2667296376172783,0.40794117262153845,0.950224736485999
0.79,0.8717856189787699,0.25950114026271376,0.3999505171284971,0.9499395158047994
0.8,0.8756899091715813,0.24983260286697836,0.3887543553730161,0.9494914855978285
0.81,0.8795449179610977,0.243708589447386,0.3816638895817206,0.9492320828398311
0.8200000000000001,0.8851427224136209,0.23693994256511608,0.3738150001891136,0.948966049676011
0.8300000000000001,0.8890184219359796,0.23074132801211503,0.36638804228184035,0.9486923133629908
0.84,0.8899178583532161,0.22097026469093034,0.354032743053607,0.9481587000749433
0.85,0.8958699068899839,0.21017655377035147,0.3404754797448354,0.9476514875539047
0.86,0.8976622987717942,0.2006636302882675,0.3280049589626129,0.9471397399008911
0.87,0.9043532054106125,0.1923885283781623,0.317280134352087,0.9467703262736092
0.88,0.9028039456286369,0.18090706147384233,0.3014154286895101,0.9460881788886968
0.89,0.9027235329173221,0.1732944113622239,0.29077013834463095,0.945650351541688
0.9,0.9123519999848715,0.1641150524079841,0.27818909266050107,0.9452471499510481
0.91,0.912248499260424,0.15306257055427067,0.26214146128297394,0.9446036224787417
0.92,0.9139057528286126,0.14188015046722963,0.24562761317311663,0.9439719887033309
0.93,0.908598929315241,0.13286644026936525,0.2318316266604686,0.9433924952054241
0.9400000000000001,0.9153868431673367,0.12060292253336147,0.21312629176389597,0.9427466622556657
0.9500000000000001,0.9097638659537871,0.10703239338762294,0.1915313969657613,0.9419083928697851
0.96,0.9122751090542061,0.09506602694887427,0.17218867968848472,0.9412338713723784
0.97,0.9089630280500168,0.08276349999263813,0.15171311735263018,0.9404977429536885
0.98,0.8892341966177214,0.05870595819928062,0.1101405933923932,0.9390138613246404
0.99,0.8163835343523277,0.026641878576088976,0.051599846600543516,0.9370373466145593
1.0,0.0,0.0,0.0,0.9356959492183358
